Name,Why,Alternatives
Sol Ring,"{1} artifact that taps for {C}{C} — it nets a mana the turn it lands and every turn after. The single most explosive accelerant in Commander; if you can play it, you play it.","Mana Vault; Mind Stone; Arcane Signet"
Arcane Signet,"Two-mana rock that taps for any color in your commander's color identity. Perfect fixing for a multicolor deck with zero downside — it always makes exactly the color you need.","Fellwar Stone; Coldsteel Heart; Commander's Sphere"
Commander's Sphere,"Two-mana any-color rock in your commander's identity, and you can sacrifice it to draw a card once you're flooded on mana. Ramp that refuses to stay a dead draw late.","Mind Stone; Arcane Signet; Fellwar Stone"
Fellwar Stone,"Two-mana rock that taps for any color an opponent's lands could produce. In a multicolor pod it fixes almost anything, and it's colorless to cast so it never gets stranded in hand.","Arcane Signet; Mind Stone; Coldsteel Heart"
Mind Stone,"Two-mana rock that taps for {C} and, when mana stops mattering, cashes in for a card. The default ""ramp now, draw later"" rock in colorless and mono shells.","Commander's Sphere; Thought Vessel; Everflowing Chalice"
Thought Vessel,"Two-mana rock that taps for {C} and lifts your maximum hand size. Ramp that also lets you hoard cards for a big turn — great in draw-heavy or storm-y builds.","Mind Stone; Everflowing Chalice; Arcane Signet"
Talisman of Dominance,"Two-mana Dimir rock: taps for {C} free, or {U}/{B} for 1 life. Efficient fixing for a blue-black shell — the life loss is trivial next to the tempo.","Dimir Signet; Fellwar Stone; Mind Stone"
Talisman of Hierarchy,"Two-mana Orzhov rock: {C} free, or {W}/{B} for 1 life. Tight, on-color fixing for a white-black core that comes down a turn ahead of a land drop.","Orzhov Signet; Fellwar Stone; Commander's Sphere"
Relic of Legends,"Two-mana rock; tap it — or tap a legendary creature you control — for any color, specifically to cast legendary and commander spells. Quietly excellent in a legendary-dense build.","Arcane Signet; Jeweled Lotus; Commander's Sphere"
Archaeomancer's Map,"Fetches two basics to hand on ETB, then feeds you free lands whenever an opponent has more than you. Steady, resilient fixing that survives board wipes because the engine lives in the graveyard-proof enchantment.","Land Tax; Burnished Hart; Solemn Simulacrum"
Lightning Greaves,"Zero-cost to equip, granting haste and shroud. Not ramp — protection: it lets your commander attack or tap the turn it lands and shrugs off targeted removal. The catch is you can't target your own creature while it's equipped.","Swiftfoot Boots; Whispersilk Cloak; Champion's Helm"
Swiftfoot Boots,"One mana to equip; haste plus hexproof. Slightly slower to move than Greaves but you can still target your own creature — the more flexible protection boot.","Lightning Greaves; Champion's Helm; Robe of the Archmagi"
Cultivate,"Digs two lands out of your deck — one onto the battlefield (ramp) and one into hand (no flood, guaranteed land drop next turn). Green's gold-standard three-mana fixing.","Kodama's Reach; Farseek; Three Visits"
Kodama's Reach,"Two lands from your deck: one to the battlefield, one to hand, and it thins the deck. Functionally Cultivate; run both in a green ramp shell.","Cultivate; Skyshroud Claim; Farseek"
Swords to Plowshares,"One mana, exile any creature — the most efficient removal ever printed. The lifegain almost never matters; the clean, permanent answer does.","Path to Exile; Generous Gift; Fateful Absence"
Path to Exile,"One-mana exile for any creature. Giving them a basic land is real early but usually irrelevant against the tempo of killing a threat for a single mana.","Swords to Plowshares; Generous Gift; Fateful Absence"
Cyclonic Rift,"{6}{U} overloaded at instant speed bounces every nonland permanent your opponents control — a one-sided reset that ends games out of nowhere. The best blue haymaker in the format.","Evacuation; River's Rebuke; Aetherize"
Rhystic Study,"An engine in a card: opponents pay {1} for each spell or you draw. In a four-player pod they usually can't afford it every time, and it snowballs into a full grip.","Mystic Remora; Esper Sentinel; Trouble in Pairs"
Counterspell,"{U}{U}, counter target spell — no conditions, no drawbacks. The clean baseline interaction the entire color is built around.","Swan Song; An Offer You Can't Refuse; Negate"
Smothering Tithe,"Every opponent draw is a Treasure unless they pay {2}. Across a table that's a landslide of mana within a turn cycle — one of white's few true ramp payoffs.","Monologue Tax; Dockside Extortionist; Land Tax"
Blood Artist,"Whenever any creature dies — yours or an opponent's — a player loses 1 life and you gain 1. The payoff that turns a board wipe or a sacrifice loop into a table-wide drain.","Zulaport Cutthroat; Bastion of Remembrance; Cruel Celebrant"
Bastion of Remembrance,"An enchantment Blood Artist: whenever a creature you control dies, each opponent loses 1 life and you gain 1. Harder to remove than a creature, and it hits every opponent at once.","Blood Artist; Zulaport Cutthroat; Cruel Celebrant"
"Vito, Thorn of the Dusk Rose","Turns every point of lifegain into an opponent losing that much life, converting incidental lifegain into a real clock. Pairs with Exquisite Blood for an instant table kill.","Sanguine Bond; Marauding Blight-Priest; Epicure of Blood"
Exsanguinate,"An X-drain that hits each opponent for X and gains you the total life lost — a mana sink that ends games and loops with a lifegain-to-drain payoff. X counts on the stack, so it triggers mana-value-3+ effects.","Torment of Hailfire; Debt to the Deathless; Profane Command"
Baleful Strix,"A 1/1 flyer with deathtouch that draws a card as it enters — it blocks almost anything, trades up, and never costs you a card. Among the best two-mana value creatures in Dimir.","Wall of Omens; Shipwreck Dowser; Sakura-Tribe Elder"
Solemn Simulacrum,"Ramp, fixing, a blocker, and a card in one: fetch a basic when it enters, draw when it dies. Colorless, so it slots into any deck and smooths every draw.","Burnished Hart; Wood Elves; Pilgrim's Eye"
Sun Titan,"Its entry and every attack reanimate a permanent of mana value 3 or less — lands, rocks, dorks, aristocrat pieces. A recursion engine that rebuys a huge share of the deck.","Sevinne's Reclamation; Karmic Guide; Emeria, the Sky Ruin"
Murderous Rider,"Swift End kills a creature or planeswalker at instant speed for three mana and gains 2 life; the 2/3 lifelink body comes later. Two cards in one, and the Adventure sidesteps a dead removal draw.","Hero's Downfall; Bedevil; Deadly Rollick"
Sakura-Tribe Elder,"Block with it, then sacrifice in response to fetch a basic to the battlefield — one card becomes a chump block AND ramp with fixing. The gold standard of green two-drops.","Wood Elves; Farhaven Elf; Springbloom Druid"
Toxic Deluge,"Pay X life to give all creatures -X/-X — the wipe that answers indestructible and oversized tokens alike, scaling exactly to the board and dodging regeneration.","Damnation; Bontu's Last Reckoning; Ritual of Soot"
