Card,Added,Replaced,Source
Pensive Professor,2026-08-11,Capsize,free
Kid Loki,2026-08-11,Darksteel Plate,share
Laboratory Maniac,2026-08-11,Diluvian Primordial,free
Reconnaissance Mission,2026-08-11,Dominate,share
Bident of Thassa,2026-08-11,Evacuation,free
Professor Hulk,2026-08-11,Icy Manipulator,share
Fellwar Stone,2026-08-11,Into the Story,share
"Loki, God of Mischief",2026-08-11,Opportunity,free
Lightning Greaves,2026-08-11,Rite of Replication,share
Reliquary Tower,2026-08-11,Bonders' Enclave,free
